College Name,Address,District,Type
BHARATI VIDYAPEETH DEEMED TO BE UNIVERSITY DEPARTMENT OF ENGINEERING AND TECHNOLOGY OFFCAMPUS,"SECORT NO 7, PLOT NO. 3A CBD BELAPUR, NAVI MUMBAI",RAIGAD,Deemed to be University(Pvt)
DATTAKALA GROUP OF INSTITUTIONS,"GAT NO. 541/2, 527 OFF.PUNE-SOLAPUR HIGHWAY NO. 9, A/P-SWAMI-CHINCHOLI, TAHSIL - DAUND, DIST-PUNE PIN-413130",PUNE,Private-Self Financing
SIR J. J. SCHOOL OF ART,"78, DR. D. N. ROAD, FORT, MUMBAI 01.",MUMBAI CITY,Government
MKSSS'S CUMMINS COLLEGE OF ENGINEERING FOR WOMEN,"MOUJE SUKLI (GUPCHUP), TAL. HINGNA",NAGPUR,Private-Self Financing
"SVKM'S NMIMS SCHOOL OF BUSINESS MANAGEMENT, NAVI MUMBAI","PLOT NO. 2, SECTOR-33, BEHIND RAMSETH THAKUR JUNIOR COLLEGE, KHARGHAR,TALUKA: PANVEL, NAVI MUMBAI",RAIGAD,State Private University
SANT DNYANESHWAR INSTITUTE OF MANAGEMENT AND BUSINESS ADMINISTRATION,"BHANASHIWARE, NEWASA PHATA, TALUKA NEWASA,DISTRICT AHMEDNAGAR",AHMEDNAGAR,Private-Self Financing
SIR M VISVESVARAYA INSTITUTE OF MANAGEMENT STUDIES AND RESEARCH,"ROAD NO. 7A, SEWRI WADALA ESTATE, SCHEME NO. 57, WADALA(W), MUMBAI",MUMBAI CITY,Private-Self Financing
CAMP EDUCATION SOCIETY'S RASIKLAL M. DHARIWAL INSTITUTE OF MANAGEMENT,"SECTOR NO 27/A, PRADHIKARAN, NIGDI,",PUNE,Private-Self Financing
"INSTITUTE FOR FUTURE EDUCATION, ENTREPRENEURSHIP AND LEADERSHIP","GAT NO. 178, VILLAGE KARLA",PUNE,Private-Self Financing
"SHRI AMBABAI TALIM SANSTHA'S SANJAY BHOKRE GROUP OF INSTITUTES, MIRAJ.","TILAKNAGAR, POST-WANLESSWADI,",SANGLI,Private-Self Financing
BHARAT COLLEGE OF ENGINEERING,"KANHOR, BADLAPUR (WEST)",THANE,Private-Self Financing
CITY PREMIER COLLEGE OF MANAGEMENT,"AT KHASRA NO. 60/2 & 60/3, MOUZA - ISASANI, BEHIND MIHAN, GATE NO. 3, TAHSIL - HINGNA, DISTRICT - NAGPUR.",NAGPUR,Private-Self Financing
RAMACHANDRAN INTERNATIONAL INSTITUTE OF MANAGEMENT,"MANTRI ALPINE, BUILDING C, SR. NO. 268, BAVDHAN BUDRUK, PUNE - 411021",PUNE,Private-Self Financing
JIO INSTITUTE,"SECTOR-4, ULWE, NAVI MUMBAI, MAHARASHTRA- 410206",RAIGAD,Private-Self Financing
AJEENKYA DY PATIL SCHOOL OF ENGINEERING,"DR. D. Y. PATIL KNOWELDGE CITY, S. NO. 136, CHARHOLI (BK), VIA LOHEGAON, TAL.- HAVELI",PUNE,Private-Self Financing
DR D Y PATIL VIDYAPEETH PUNE,"SANT TUKARAM NAGAR, PIMPRI",PUNE,Deemed to be University(Pvt)
DATTA MEGHE INSTITUTE OF HIGHER EDUCATION AND RESEARCH (DEEMED TO BE UNIVERSITY),"SALOD(H), WARDHA, MAHARASHTRA, 442001",WARDHA,Deemed to be University(Pvt)
ADITYA SCHOOL OF BUSINESS MANAGEMENT,"ADITYA EDUCATIONAL CAMPUS, R.M.BHATTAD MARG, KALAPANA CHAWLA CHOWK, RAM NAGAR, BORIVALI WEST,",MUMBAI SUBURBAN,Private-Self Financing
SURYADATTA INSTITUTE OF MANAGEMENT AND MASS COMMUNICATION PGDM,"SURVEY NO. 342, BAVDHAN (BK) PUNE 411021 MAHARASHTRA",PUNE,Private-Self Financing
SIES SCHOOL OF BUSINESS STUDIES,"SRI. CHANDRASEKARENDRA SARASWATHI VIDYAPURAM PLOT 1E, SECTOR 5, NERUL , NAVI MUMBAI",THANE,Private-Self Financing
SVIMS BUSINESS SCHOOL,"PLOT NO-117,ROAD NO-7A,SEWERI-WADALA ESTATE, WADALA-WEST",MUMBAI CITY,Private-Self Financing
PRIN. L.N. WELINGKAR INSTITUTE OF MANAGEMENT DEVELOPMENT AND RESEARCH (PGDM),LAKHAMSI NAPOO ROAD,MUMBAI CITY,Private-Self Financing
KOHINOOR MANAGEMENT SCHOOL,KOHINOOR CITY KIROL ROAD,MUMBAI CITY,Private-Self Financing
SHRI VILE PARLE KELAVANI MANDALS NARSEE MONJEE INSTITUTE OF MANAGEMENT STUDIES SVKMS NMIMS,"V. L. MEHTA ROAD, VILE PARLE (W), MUMBAI 40056.",MUMBAI SUBURBAN,Deemed to be University(Pvt)
FTII,"LAW COLLEGE ROAD, NEAR NAL STOP, PUNE,",PUNE,Government
PUNE BUSINESS SCHOOL,"SECTOR NO. 26, PRADHIKARAN, NIGDI, PUNE.",PUNE,Private-Self Financing
CENTRAL INSTITUE OF PETROCHEMICALS ENGINEERING AND TECHNOLOGY,C-10/1 MIDC TADALI CHANDRAPUR,CHANDRAPUR,Government
IDEAL INSTITUTE OF MANAGEMENT,"GAT NO 377, KONDIGRE",KOLHAPUR,Private-Self Financing
"AUREOLE SCHOOL OF BUSINESS MANAGEMENT, PUNE","AT 116/3, AMBI, TAL - MAVAL, DIST - PUNE",PUNE,Private-Self Financing
KIRLOSKAR INSTITUTE OF MANAGEMENT,"GUT NO. 356 & 357, VILLAGE DHAMANE TAL MAVAL",PUNE,Private-Self Financing
N. B. NAVALE SINHGAD COLLEGE OF ENGINEERING,"AT POST KEGAON, SOLAPUR - PUNE NATIONAL HIGHWAY, DIST SOLAPUR, MAHARASHTRA, PIN- 413256",SOLAPUR,Private-Self Financing
GLOBAL INSTITUTE OF MANAGEMENT,"S. NO. 132/1, PUNE NASHIK HIGHWAY, VELHALE, SANGAMNER, DIST. AHMEDNAGAR",AHMEDNAGAR,Private-Self Financing
SHRI SHIVAJI INSTITUTE OF ENGINEERING AND MANAGEMENT STUDIES,VASMAT ROAD,PARBHANI,Private-Self Financing
"TRINITY ACADEMY OF ENGINEERING, PUNE","S.NO.25 & 27,AT-PISOLI,POST-YEWALEWADI,NEAR BOPDEVGHAT,TAL-HAVELI,PUNE.",PUNE,Private-Self Financing
SHRIMANT JAYSHREEMALADEVI NAIK-NIMBALKAR INSTITUTE OF MANAGEMENT STUDIES,"GAT NO. 94/1B AT POST- PHALTAN, TAL- PHALTAN, DIST- SATARA",SATARA,Private-Self Financing
UNIVERSAL COLLEGE OF ENGINEERING & RESEARCH,"GAT NO. 430, SASEWADI, TALUKA - BHOR,",PUNE,Private-Self Financing
FOSTER DEVELOPMENT SCHOOL OF MANAGEMENT,"SHIVAJI NAGAR, GUT NO 125, SATARA",AURANGABAD,Private-Self Financing
GOVERNMENT COLLEGE OF ENGINEERING NAGPUR,MIHAN REHABILITATION COLONY KHAPRI RAILWAY WARDHA ROAD NAGPUR,NAGPUR,Government
PUNE INSTITUTE OF BUSINESS MANAGEMENT,"605/1 MUKAYWADI ROAD, PIRANGUT, TAL MULSHI",PUNE,Private-Self Financing
ARIHANT INSTITUTE OF BUSINESS MANAGEMENT,"S.NO. 276/1, 276/2, 277/1, 277/2, 278/2, NEAR CRYSTAL HONDA SHOWROOM, NEW MUMBAI-PUNE HIGHWAY, BAWDHAN (BK.),",PUNE,Private-Self Financing
"INSTITUTE OF TECHNICAL EDUCATION, RESEARCH AND MANAGEMENT","SECTRO NO.28, GANGANAGAR, PCNTDA,PROF. RAMKRISHNA MORE COLLEGE, NEAR MAHALSAKANT CHOWK",PUNE,Private-Self Financing
KALA INSTITUTE OF MANAGEMENT STUDIES AND RESEARCH,"PLOT NO 2 R.SC 6 S.NO.41(PART) CTS NO. 3 VILLAGE CHARKOP , MHADA LAY OUT , KANDIVALI (WEST) , MUMBAI 400067",MUMBAI SUBURBAN,Private-Self Financing
SMT.JAYSHREE SHARADCHANDRA KOTHARI BUSINESS SCHOOL,"DES MUMBAI CAMPUS, KIRTI COLLEGE ROAD, OFF VEER SAVARKAR ROAD, DADAR WEST, MUMBAI",MUMBAI CITY,Private-Self Financing
RENAISSANCE INSTITUTE OF MANAGEMENT STUDIES,"PUGLIA CHAMBERS,GANDHI CHOWK, CHANDRAPUR",CHANDRAPUR,Private-Self Financing
D Y PATIL DEEMED TO BE UNIVERSITY DEPARTMENT OF BIOTECHNOLOGY AND BIOINFORMATICS NAVI MUMBAI,"SECTOR 15, PLOT 50, CBD BELAPUR,",THANE,Deemed to be University(Pvt)
SURYODAYA COLLEGE OF ENGINEERING & TECHNOLOGY,"SURVEY NO. 117/1 & 117/3 A, VIHIRGAON,",NAGPUR,Private-Self Financing
BHARATI VIDYAPEETH DEEMED TO BE UNIVERSITY DEPARTMENT OF MANAGMENT STUDIES OFF CAMPUS,"PLOT NO KC-1, SECTOR 03, KHARGAR NAVI MUMBAI",MUMBAI CITY,Private-Self Financing
WESTERN BUSINESS SCHOOL PUNE,"CHAKAN TALEGAON ROAD , SUDUMBARE ,PUNE-412109",PUNE,Private-Self Financing
SYMBIOSIS INTERNATIONAL (DEEMED UNIVERSITY),"PLOT NO.A-23, SHRAVAN SECTOR, NEW CIDCO, NASHIK, MAHARASHTRA 422008",NASHIK,Deemed to be University(Pvt)
NATIONAL ACADEMY OF DEFENCE PRODUCTION,"ORDNANCE FACTORY AMBAJHARI ESTATE, AMBAJHARI, NAGPUR - 440021",NAGPUR,Government
SYMBIOSIS INSTITUTE OF TECHNOLOGY,MOUJE - WATHODA,NAGPUR,Deemed to be University(Pvt)
SANDIP INSTITUE OF ENGINEERING & MANAGEMENT,"TRIMBAK ROAD, MAHIRAVANI",NASHIK,Private-Self Financing
INSTITUTE OF CHEMICAL TECHNOLOGY MUMBAI MARATHWADA OFF CAMPUS,"M/S BEEJ SHEETAL RESEARCH PRIVATE LIMITED, BT-5/13-1/13-2/13-3, BIOTECHNOLOGY PARK, ADDITIONAL MIDC AREA, AURANGABAD ROAD, DIST- JALNA, MAHARASHTRA, PIN - 431 203",JALNA,Deemed to be University(Govt)
S K N SINHGAD SCHOOL OF BUSINESS MANAGEMENT,"SR. NO. 10/1 AMBEGAON (BK.), TALUKA HAVELI, DIST PUNE 411041",PUNE,Private-Self Financing
ADITYA INSTITUTE OF MANAGEMENT-PGDM,"SR.NO.42(PART), NARHE-AMBEGAON, NEAR SPRINGDALE SCHOOL PUNE",PUNE,Private-Self Financing
TERNA GLOBAL BUSINESS SCHOOL,"PLOT NO. 12, SECTOR-22, OPP. NERUL RAILWAY STATION, PHASE II, NERUL(W), NAVI MUMBAI",THANE,Private-Self Financing
ST. FRANCIS INSTITUTE OF MANAGEMENT AND RESEARCH PGDM,"MT. POINSUR, S.V.P. ROAD, BORIVALI WEST",MUMBAI SUBURBAN,Private-Self Financing
DURGADEVI SARAF GLOBAL BUSINESS SCHOOL,"23-A,24-28, S.V.ROAD, MALAD WEST",MUMBAI CITY,Private-Self Financing
GNIMS BUSINESS SCHOOL,MATUNGA EAST MUMBAI 400019,MUMBAI CITY,Private-Self Financing
ATHARVA SCHOOL OF BUSINESS,"MALAD MARVE ROAD, CHARKOP NAKA, MALAD WEST",MUMBAI SUBURBAN,Private-Self Financing
VIJAY PATIL SCHOOL OF MANAGEMENT,"D Y PATIL UNIVERSITY, SECTOR 7, NERUL",THANE,Deemed to be University(Pvt)
S.P.MANDALI'S PRIN.N.G.NARALKAR INSTITUTE OF CAREER DEVELOPMENT AND RESEARCH,"536, SHANIWAR PETH, APPA BALWANT CHOWK,",PUNE,Private-Self Financing
DEPARTMENT OF TECHNOLOGY,SAVITRIBAI PHULE PUNE UNIVERSITY,PUNE,Government
MANOHARBHAI PATEL INSTITUTE OF ENGINEERING & TECHNOLOGY,"N.H.6,SHAHAPUR, BHANDARA",BHANDARA,Private-Self Financing
PADMASHRI DR. V.B. KOLTE COLLEGE OF ENGINEERING,"MALKAPUR-443 101, DISTT. BULDANA.",BULDHANA,Private-Self Financing
SHREE SIDDHESHWAR WOMEN'S COLLEGE OF ENGINEERING SOLAPUR.,T.P.S. II F. PLOT NO. 74 BHAVANI PETH RUPA BHAVANI MANDIR ROAD SOLAPUR.,SOLAPUR,Private-Self Financing
TSSM'S BHIVARABAI SAWANT COLLEGE OF ENGINEERING AND RESEARCH,"S.NO. 12/1/2 AND 12/2/2, NARHE, TALUKA HAVELI, DIST: PUNE",PUNE,Private-Self Financing
SHREE RAMCHANDRA COLLEGE OF ENGINNERING,"GUT NO-351/353, AT POST LONIKAND, TAL HAVELI, DIST PUNE.",PUNE,Private-Self Financing
SANMATI ENGINEERING COLLEGE,SURVEY NO. 40 WASHIM-MALEGAON ROAD AT. PO. SAWARGAON BARDE,WASHIM,Private-Self Financing
ARVIND GAVALI COLLEGE OF ENGINEERING,"GAT NO. 247, PANMALEWADI, POST - VARYE,",SATARA,Private-Self Financing
NATIONAL INSURANCE ACADEMY,"25, BALEWADI, BANER ROAD N.I.A. P.O.",PUNE,Private-Self Financing
KISHORI COLLEGE OF MBA,"SUY. NO. 6 TARAF BALGUJAR, BEED",BEED,Private-Self Financing
"ASM'S INSTITUTE OF BUSINESS MANAGEMENT & RESEARCH (PGDM), PUNE","PLOT NO.133, MIDC, BLOCK C', CHINCHWAD, PUNE 411019",PUNE,Private-Self Financing
ANEKANT INSTITITE OF MANAGEMENT STUDIES,"ANEKANT EDUCATION SOCIETY CAMPUS, BARAMATI, DIST.PUNE",PUNE,Private-Self Financing
MITTHULALJI SARDA MBA COLLEGE,"SARDA ESTATE NALWANDI ROAD, BEED",BEED,Private-Self Financing
MODERN INSTITUTE OF BUSINESS MANAGEMENT,"1186, SHIVAJINAGAR, PUNE",PUNE,Private-Self Financing
SVKM NMIMS GLOBAL UNIVERSITY,"SURVEY NO. 499/1, PLOT NO. 2, BEHIND GURUDWARA, MUMBAI âAGRA HIGHWAY, DHULE 424001",DHULE,State Private University
SURAJ INSTITUTE OF MANAGEMENT,"SUY NO. 28/29 TARAF KHOD, BEED",BEED,Private-Self Financing
PUNE VIDYARTHI GRIHAâS COLLEGE OF ENGINEERING & SHRIKRUSHNA S. DHAMANKAR INSTITUTE OF MANAGEMENT,"206, DINDORIROAD, BEHIND RELIANCE PETROL PUMP, MHASRUL, NASHIK 422004",NASHIK,Private-Self Financing
REAL INSTITUTE OF MANAGEMENT & RESEARCH,"SURVEY NO. 30, BELTARODI, NAGPUR",NAGPUR,Private-Self Financing
JANAKI DEVI BAJAJ INSTITUTE OF MANAGEMENT STUDIES AND RESEARCH,"SNDT WOMEN'S UNIVERSITY, MAHARSHI KARVE VIDYA VIHAR, KARVE ROAD",PUNE,State Government University
K. B. JOSHI INSTITUTE OF INFORMATION TECHNOLOGY,"RAMA PURUSHOTTAM VIDYA SANKUL, KARVE NAGAR",PUNE,Private-Self Financing
DR. MAR THEOPHILUS INSTITUTE OF MANAGEMENT STUDIES,"PLOT NO2, SECTOR 9, SANPADA",THANE,Private-Self Financing
SYMBIOSIS INTERNATIONAL (DEEMED UNIVERSITY),"GRAM: LAVALE, TAL: MULSHI",PUNE,Deemed to be University(Pvt)
"LOKNETE SHAMRAO PEJE GOVERNMENT COLLEGE OF ENGINEERING, RATNAGIRI","NEAR THIBAW PALACE, MAL NAKA, RATNAGIRI",RATNAGIRI,Government
ASMS INSTITUTE OF BUSINESS MANAGEMENT AND RESEARCH MCA PUNE,MIDC BLOCK C CHINCHWAD PUNE,PUNE,Private-Self Financing
MET INSTITUTE OF POST GRADUATE DIPLOMA IN MANAGEMENT,"MET BHUJBAL KNOWLEDGE CITY, BANDRA RECLAMATION, BANDRA (W)",MUMBAI SUBURBAN,Private-Self Financing
DR ARUN MOTGHARE MAHAVIDYALAYA MBA,"SURVEY NO. 442, 443, 445, 441/2/2, 444, 446/3B, 446/3A, MOUZA- KOSRA- KONDA, TAH.- PAUNI DIST BHANDARA",BHANDARA,Private-Self Financing
M.K.E.S. INSTITUTE OF MANAGEMENT STUDIES AND RESEARCH,"BHAVISHYA BHARAT CAMPUS, BHADRAN NAGAR, ROAD NO 1 OFF S.V. ROAD, MALAD WEST.",MUMBAI SUBURBAN,Private-Self Financing
SMT PARMESHWARIDEVI DURGADUTT TIBREWALA INSTITUTE OF MANAGEMENT AND RESEARCH,J B NAGAR ANDHERI E,MUMBAI SUBURBAN,Private-Self Financing
INDIRA GLOBAL SCHOOL OF BUSINESS,"SR.NO. 64/65, GAT NO. 276, AT. POST â PARANDWADI TAL â MAVAL",PUNE,Private-Self Financing
U.D.PATHRIKAR INSTITUTE OF MANAGEMENT,"AT.POST PATHRI, TQ.PHULAMBRI, DIST.AURANGABAD",AURANGABAD,Private-Self Financing
SASMIRA'S INSTITUTE OF MANAGEMENT STUDIES & RESEARCH,"SASMIRA MARG, WORLI",MUMBAI CITY,Private-Self Financing
NAVSAHYADRI EDUCATION SOCIETY'S GROUP OF INSTITUTIONS,"GAT. N0. 69,70,71, MOUJE : NAIGAON, TAL. BHOR, DIST. PUNE - 412205.",PUNE,Private-Self Financing
ISBM COLLEGE OF ENGINEERING PUNE,"SURVEY NO.44/1, 44/1/2, NANDE VILLAGE",PUNE,Private-Self Financing
"SAMRAT ASHOK INSTITUTE OF COMPUTER & MANAGEMENT STUDIES,","SR NO. 410/01, DERABARDI, DHULE ROAD,",JALGAON,Private-Self Financing
HOMI BHABHA NATIONAL INSTITUTE,TRAINING SCHOOL COMPLEX 2ND FLOOR ANUSHAKTHINAGAR MUMBAI 400 094,MUMBAI CITY,Deemed to be University(Govt)
SAMARTH COLLEGE OF ENGINEERING AND MANAGEMENT,"A- BANGARWADI, P-BELHE,TAL- JUNNAR",PUNE,Private-Self Financing
YASHODEEP INSTITUTE OF COMPUTER APPLICATION MCA,GUT NO.114 BEED ROAD AURANGABAD.,AURANGABAD,Private-Self Financing
PRIN. K.P. MANGALVEDHEKAR INSTITUTE OF MANAGEMENT CAREER DEVELOPMENT AND RESEARCH,"156-B, RAILWAY LINES, SURVEY NO 8409/1 A",SOLAPUR,Private-Self Financing
LEXICON MANAGEMENT INSTITUTE OF LEADERSHIP AND EXCELLENCE,"LEXICON ESTATE GUT NO 726, PUNE-NAGAR ROAD WAGHOLI",PUNE,Private-Self Financing
THAKUR GLOBAL BUSINESS SCHOOL,"C- BLOCK, THAKUR EDUCATIONAL CAMPUS, SHYAMNARAYAN THAKUR MARG, THAKUR VILLAGE",MUMBAI CITY,Private-Self Financing
S K N SINHGAD COLLEGE OF ENGINEERING,"AT POST KORTI, TALUKA PANDHARPUR, PANDHARPUR - KARAD ROAD, DIST SOLAPUR -413304",SOLAPUR,Private-Self Financing
INDALA COLLEGE OF ENGINEERING,"NEAR HP GAGANGIRI PETROL PUMP, KALYAN-MURBAD ROAD, BAPSAI, KALYAN (W) - 421301",THANE,Private-Self Financing
GOKHALE EDUCATION SOCIETY'S SIR DR. M. S. GOSAVI POLYTECHNIC INSTITUTE,"G.E.SOCIETY'S BYTCO COLLEGE CAMPUS, NASIK ROAD, NASIK",NASHIK,Private-Self Financing
INDUS BUSINESS SCHOOL,"S.NO. 114/1/3 ,WAKAD",PUNE,Private-Self Financing
MULSHI INSTITUTE OF BUSINESS MANAGEMENT,"GUT NO: 237-243, POST- SAMBHAVE MULSHI",PUNE,Private-Self Financing
JAIHIND COLLEGE OF ENGINEERING,"G. NO. 441, KURAN, TAL. JUNNAR, DIST. PUNE",PUNE,Private-Self Financing
R. V. PARANKAR COLLEGE OF ENGINEERING & TECHNOLOGY,"SURVEY NO. 116/1 MOUZA SARANGPURI, TALAO ROAD, PARANKAR WADI, TAH.- ARVI. DIST.- WARDHA(M.S.)",WARDHA,Private-Self Financing
"DEPARTMENT OF BUSINESS MANAGEMENT, GONDWANA UNIVERSITY GADCHIROLI","MIDC ROAD, COMPLEX, GADCHIROLI, DIST- GADCHIROLI",GADCHIROLI,State Government University
D. Y. PATIL UNIVERSITY SCHOOL OF ENGINEERING & TECHNOLOGY,"S.NO 124,126 AT/POST AMBI,TALEGAON DHABADE,TAL-MAVAL,DIS- PUNE",PUNE,Private-Self Financing
"PUNYASHLOK AHILYADEVI HOLKAR SOLAPUR UNIVERSITY, SOLAPUR","SOLAPUR-PUNE HIGHWAY, KEGAON, SOLAPUR",SOLAPUR,State Government University
"BAJAJ INSTITUTE OF TECHNOLOGY,","ARVI ROAD, IN FRONT OF RAMKRISHNA BAJAJ AGRICULTURE COLLEGE, PIPRI - WARDHA",WARDHA,Private-Self Financing
"MAEER'S MIT COLLEGE OF RAILWAY ENGINEERING AND RESEARCH, BARSHI","LATUR ROAD, MIDC JAMGAON, BARSHI",SOLAPUR,Private-Self Financing
SAS INSTITUTE OF MANAGEMENT STUDIES,"NEXT TO SAIDHAM COMPLEX, SARAVALI",THANE,Private-Self Financing
AURANGABAD COLLEGE OF ENGINEERING,"GAT NO 52, TULJAPUR SHIVAR,",AURANGABAD,Private-Self Financing
KOHINOOR BUSINESS SCHOOL,"KOHINOOR CITY, EDUCATIONAL COMPLEX, KIROL ROAD, KURLA WEST",MUMBAI CITY,Private-Self Financing
G N V S INSTITUTE OF MANAGMENT,GURU TEGH BAHADUR NAGAR SION (EAST) MUMBAI -400 037.,MUMBAI CITY,Private-Self Financing
MATRIX SCHOOL OF MANAGEMENT STUDIES,"SR. NO. 9/1/5, 9/2/4 & 9/1/4, NEXT TO SINHGAD SCIENCE COLLEGE, WADGAON, OF WESTERNALY BYPASS ROAD,AMBEGAON (BK) PUNE - 411041",PUNE,Private-Self Financing
SHRI SAI INSTITUTE OF MANAGEMENT & RESEARCH,"PLOT NO. P-75, BEHIND GARWARE POLYESTER, CHIKALTHANA, M.I.D.C.",AURANGABAD,Private-Self Financing
"R.C.PATEL COLLEGE OF ENGINEERING AND POLYTECHNIC,SHIRPUR","SURVEY NO. 41/1, NEAR BALAJI NAGAR, OPPOSITE TO R. C. PATEL EDUCATIONAL COMPLEX, KARAVAND ROAD, SHIRPUR - 425405; DIST: DHULE (MS)",DHULE,Private-Self Financing
SHREE L.R. TIWARI COLLEGE OF ENGINEERING,"NEAR COMMISIONER'S BUNGALOW,KANAKIYA PARK,MIRA ROAD (E),",THANE,Private-Self Financing
VISHWAKARMA DADASAHEB CHAVAN INSTITUTE OF MANAGEMENT AND RESEARCH,"A/P MALWADI-MASUR, TAL KARAD",SATARA,Private-Self Financing
VILASRAO DESHMUKH FOUNDATION GROUP OF INSTITUTIONS,"PLOT NO.165A,ADDITIONAL MIDC, NEAR TO MANJARA SUGAR,BARSHI ROAD,LATUR.",LATUR,Private-Self Financing
ASHOKA BUSINESS SCHOOL,"ASHOKA BUSINESS SCHOOL, URJAYANT PLAZA, NEXT TO SUMAN PETROL PUMP, MUMBAI - AGRA HIGHWAY, CIDCO, NASIK - 9",NASHIK,Private-Self Financing
MDA EDUCATION AND RESEARCH INSTITUTE,LATUR NANDED NH-361 AT. KOLPA POST. KASARKHEDA TQ. & DIST. LATUR,LATUR,Private-Self Financing
JAY BHAVANI INSTITUTE OF MANAGEMENT,GUT NO 209 INFRONT OF COLLEGE OF AGRICULTURE BADNAPUR JALNA AURANGABAD ROAD BADNAPUR,JALNA,Private-Self Financing
SYMBIOSIS INTERNATIONAL (DEEMED UNIVERSITY),"CAMPUS GAT. NO.167,168,169, VILLAGE MAUJE, BHANDEWADI, WATHODA LAYOUT, NAGPUR, MAHARASHTRA 440008",PUNE,Deemed to be University(Pvt)
SHREEYASH INSTITUTE OF MANAGEMENT STUDIES AND RESEARCH,"GUT NO. 258 (P), NEAR SRPF CAMP, SATARA PARISAR, AURANGABAD",AURANGABAD,Private-Self Financing
MAHATMA PHULE KRISHI VIDYAPEETH RAHURI,MAHATMA PHULE KRISHI VIDYAPEETH,AHMEDNAGAR,Government
DR R G BHOYAR ARTS COMMERCE AND SCIENCE COLLEGE FORMERLY VIDYABHARTI COLLEGE,NAGPUR- WARDHA HIGHWAY MOHANAPUR SELOO,WARDHA,Govt aided
VSS DR.SHIVAJI MADAN INSTITUTE OF MANAGEMENT,MAMMADEVI TO RLY STATION ROAD JALNA,JALNA,Private-Self Financing
M.S. COLLEGE OF MANAGEMENT,"SURVEY NO. 120, VILLAGE DEVGHAR, TALUKA WADA, DISTRICT PALGHAR, THANE.",THANE,Private-Self Financing
